m,k,n,time,GFLOPS
2000,2000,2000,0.029499,542.386082
2000,2000,2000,0.027496,581.908431
2000,2000,2000,0.027056,591.361269
2000,2000,2000,0.331566,48.255904
2000,2000,2000,0.026962,593.423275
2000,2000,2000,0.027161,589.069282
2000,2000,2000,0.027219,587.821507
2000,2000,2000,0.026909,594.602282
2000,2000,2000,0.026794,597.137784
2000,2000,2000,0.027475,582.339683
3000,3000,3000,0.076072,709.849913
3000,3000,3000,0.076025,710.295423
3000,3000,3000,0.076007,710.456420
3000,3000,3000,0.075983,710.681029
3000,3000,3000,0.075736,713.002913
3000,3000,3000,0.076665,704.367337
3000,3000,3000,0.500787,107.830352
3000,3000,3000,0.075618,714.116565
3000,3000,3000,0.075575,714.521383
3000,3000,3000,0.075904,711.426308
4000,4000,4000,0.163678,782.025095
4000,4000,4000,0.163449,783.120848
4000,4000,4000,0.164058,780.214192
4000,4000,4000,0.163421,783.252418
4000,4000,4000,0.163021,785.176775
4000,4000,4000,40.132073,3.189469
4000,4000,4000,0.163630,782.252414
4000,4000,4000,0.163675,782.039017
4000,4000,4000,0.163372,783.486096
4000,4000,4000,0.163395,783.377551
5000,5000,5000,0.315444,792.532699
5000,5000,5000,0.314607,794.642017
5000,5000,5000,0.314965,793.737913
5000,5000,5000,0.314392,795.186539
5000,5000,5000,0.314211,795.643760
5000,5000,5000,0.314768,794.235999
5000,5000,5000,0.315039,793.553189
5000,5000,5000,0.315309,792.873219
5000,5000,5000,0.314264,795.508650
5000,5000,5000,0.314937,793.810642
6000,6000,6000,0.538067,802.874032
6000,6000,6000,0.530092,814.953042
6000,6000,6000,0.529341,816.108965
6000,6000,6000,0.530317,814.606639
6000,6000,6000,0.529037,816.578147
6000,6000,6000,0.529770,815.448483
6000,6000,6000,0.530401,814.477419
6000,6000,6000,0.530332,814.583636
6000,6000,6000,6.614109,65.314916
6000,6000,6000,0.529424,815.980548
7000,7000,7000,0.845721,811.142022
7000,7000,7000,0.845392,811.458066
7000,7000,7000,0.845912,810.959038
7000,7000,7000,0.845661,811.200053
7000,7000,7000,0.845848,811.020327
7000,7000,7000,0.845442,811.409513
7000,7000,7000,0.845913,810.957897
7000,7000,7000,0.846347,810.542090
7000,7000,7000,0.845649,811.211418
7000,7000,7000,0.846683,810.220873
8000,8000,8000,1.248179,820.395130
8000,8000,8000,1.247960,820.539380
8000,8000,8000,1.248852,819.953070
8000,8000,8000,1.248583,820.129753
8000,8000,8000,2.385986,429.172724
8000,8000,8000,1.358508,753.768051
8000,8000,8000,1.255952,815.318028
8000,8000,8000,1.248016,820.502003
8000,8000,8000,1.248254,820.345616
8000,8000,8000,1.248731,820.032504
9000,9000,9000,1.768130,824.599819
9000,9000,9000,1.768592,824.384497
9000,9000,9000,1.773363,822.166537
9000,9000,9000,1.768590,824.385743
9000,9000,9000,1.767482,824.902107
9000,9000,9000,1.768485,824.434647
9000,9000,9000,1.769114,824.141509
9000,9000,9000,1.768000,824.660560
9000,9000,9000,1.767950,824.684164
9000,9000,9000,1.768035,824.644276
10000,10000,10000,2.439829,819.729697
10000,10000,10000,2.441898,819.035052
10000,10000,10000,2.440127,819.629434
10000,10000,10000,86.074937,23.235567
10000,10000,10000,4.334628,461.400605
10000,10000,10000,2.439459,819.854023
10000,10000,10000,2.439899,819.706021
10000,10000,10000,2.439571,819.816237
10000,10000,10000,2.439293,819.909564
10000,10000,10000,3.617756,552.828874
11000,11000,11000,3.240929,821.369459
11000,11000,11000,3.906588,681.412988
11000,11000,11000,86.250990,30.863414
11000,11000,11000,94.690450,28.112656
11000,11000,11000,38.933077,68.373738
11000,11000,11000,3.234932,822.892178
11000,11000,11000,3.241946,821.111861
11000,11000,11000,12.212111,217.980340
11000,11000,11000,98.089452,27.138494
11000,11000,11000,3.244749,820.402520
12000,12000,12000,4.189361,824.946907
12000,12000,12000,4.223396,818.298842
12000,12000,12000,47.044917,73.461710
12000,12000,12000,113.229590,30.522057
12000,12000,12000,34.169884,101.141694
12000,12000,12000,48.547367,71.188206
12000,12000,12000,4.879423,708.280420
12000,12000,12000,10.090015,342.516827
12000,12000,12000,4.187783,825.257704
12000,12000,12000,4.209179,821.062704
13000,13000,13000,5.679404,773.672744
13000,13000,13000,5.911874,743.249998
13000,13000,13000,6.688541,656.944488
13000,13000,13000,5.314292,826.826923
13000,13000,13000,5.318478,826.176179
13000,13000,13000,5.319333,826.043369
13000,13000,13000,5.316343,826.507952
13000,13000,13000,5.316544,826.476797
13000,13000,13000,5.317564,826.318243
13000,13000,13000,5.326467,824.937089
14000,14000,14000,6.649242,825.357189
14000,14000,14000,7.654571,716.957235
14000,14000,14000,6.659669,824.064945
14000,14000,14000,7.103153,772.614686
14000,14000,14000,6.654477,824.707991
14000,14000,14000,8.073428,679.760819
14000,14000,14000,6.763920,811.363777
14000,14000,14000,6.650478,825.203829
14000,14000,14000,6.645441,825.829334
14000,14000,14000,6.639084,826.620010
15000,15000,15000,8.375708,805.902064
15000,15000,15000,8.184542,824.725392
15000,15000,15000,8.186586,824.519566
15000,15000,15000,8.195001,823.672875
15000,15000,15000,8.185044,824.674892
15000,15000,15000,8.187133,824.464455
15000,15000,15000,8.195452,823.627555
15000,15000,15000,8.184529,824.726798
15000,15000,15000,8.185788,824.599953
15000,15000,15000,8.186794,824.498534
16000,16000,16000,9.945750,823.668365
16000,16000,16000,9.970274,821.642381
