m,k,n,time,GFLOPS
2000,2000,2000,0.027458,582.707351
2000,2000,2000,0.024586,650.775965
2000,2000,2000,0.023391,684.029589
2000,2000,2000,0.024854,643.747771
2000,2000,2000,0.024834,644.278862
2000,2000,2000,0.023630,677.105260
2000,2000,2000,0.023472,681.650277
2000,2000,2000,0.024044,665.454015
2000,2000,2000,0.023582,678.488336
2000,2000,2000,0.024993,640.167289
3000,3000,3000,0.073080,738.920199
3000,3000,3000,0.073739,732.310610
3000,3000,3000,0.073473,734.963524
3000,3000,3000,0.073262,737.083261
3000,3000,3000,0.073516,734.529033
3000,3000,3000,0.073411,735.588844
3000,3000,3000,0.073463,735.062019
3000,3000,3000,0.073181,737.896438
3000,3000,3000,0.073191,737.796205
3000,3000,3000,0.073311,736.589960
4000,4000,4000,0.162939,785.571612
4000,4000,4000,0.162759,786.438347
4000,4000,4000,0.163016,785.199591
4000,4000,4000,0.162985,785.349154
4000,4000,4000,0.162972,785.411598
4000,4000,4000,0.162507,787.657379
4000,4000,4000,0.162385,788.249656
4000,4000,4000,0.163149,784.560410
4000,4000,4000,0.162746,786.500732
4000,4000,4000,0.162488,787.748657
5000,5000,5000,0.324278,770.943050
5000,5000,5000,0.324617,770.138839
5000,5000,5000,0.323798,772.086403
5000,5000,5000,0.325099,768.997321
5000,5000,5000,0.324025,771.545201
5000,5000,5000,0.324453,770.527733
5000,5000,5000,0.324408,770.635643
5000,5000,5000,0.324692,769.959788
5000,5000,5000,0.324612,770.151223
5000,5000,5000,0.324528,770.348875
6000,6000,6000,0.538381,802.406049
6000,6000,6000,0.538376,802.413636
6000,6000,6000,0.538673,801.971169
6000,6000,6000,0.538811,801.765239
6000,6000,6000,0.538646,802.011384
6000,6000,6000,0.538430,802.332598
6000,6000,6000,0.539156,801.251900
6000,6000,6000,0.539291,801.051132
6000,6000,6000,0.539204,801.181444
6000,6000,6000,0.538622,802.047074
7000,7000,7000,0.865161,792.915870
7000,7000,7000,0.865331,792.759785
7000,7000,7000,0.865556,792.553951
7000,7000,7000,0.866085,792.069911
7000,7000,7000,0.864693,793.345170
7000,7000,7000,0.864300,793.706314
7000,7000,7000,0.864402,793.612341
7000,7000,7000,0.865157,792.919483
7000,7000,7000,0.865445,792.655902
7000,7000,7000,0.866156,792.004723
8000,8000,8000,1.281108,799.308052
8000,8000,8000,1.282671,798.333829
8000,8000,8000,1.281047,799.346243
8000,8000,8000,1.281214,799.241664
8000,8000,8000,1.281192,799.255943
8000,8000,8000,1.280973,799.392190
8000,8000,8000,1.281925,798.798878
8000,8000,8000,1.281267,799.209181
8000,8000,8000,1.279905,800.059648
8000,8000,8000,1.281505,799.060645
9000,9000,9000,1.801312,809.409852
9000,9000,9000,1.802349,808.944329
9000,9000,9000,1.802458,808.895537
9000,9000,9000,1.800276,809.875857
9000,9000,9000,1.799899,810.045583
9000,9000,9000,1.800523,809.764918
9000,9000,9000,1.801451,809.347517
9000,9000,9000,1.801954,809.121848
9000,9000,9000,1.799086,810.411706
9000,9000,9000,1.805414,807.571073
10000,10000,10000,2.477366,807.309182
10000,10000,10000,2.476555,807.573468
10000,10000,10000,2.477189,807.366629
10000,10000,10000,2.477329,807.321034
10000,10000,10000,2.476840,807.480367
10000,10000,10000,2.475559,807.898272
10000,10000,10000,2.475942,807.773252
10000,10000,10000,2.472777,808.807119
10000,10000,10000,2.477950,807.118809
10000,10000,10000,2.475807,807.817448
11000,11000,11000,3.323193,801.036913
11000,11000,11000,3.291203,808.822802
11000,11000,11000,3.301086,806.401314
11000,11000,11000,3.295065,807.874856
11000,11000,11000,3.294053,808.122928
11000,11000,11000,3.315533,802.887589
11000,11000,11000,3.324883,800.629698
11000,11000,11000,3.314160,803.220072
11000,11000,11000,3.292371,808.535817
11000,11000,11000,3.295568,807.751515
12000,12000,12000,4.291212,805.366830
12000,12000,12000,4.292389,805.145951
12000,12000,12000,4.292312,805.160569
12000,12000,12000,4.292040,805.211562
12000,12000,12000,4.302077,803.332903
12000,12000,12000,4.337633,796.747968
12000,12000,12000,4.294409,804.767270
12000,12000,12000,4.295384,804.584643
12000,12000,12000,4.295871,804.493390
12000,12000,12000,4.293886,804.865357
13000,13000,13000,5.475919,802.422358
13000,13000,13000,5.476892,802.279770
13000,13000,13000,5.444576,807.041669
13000,13000,13000,5.468273,803.544343
13000,13000,13000,5.471908,803.010522
13000,13000,13000,5.437650,808.069722
13000,13000,13000,5.458194,805.028118
13000,13000,13000,5.473417,802.789243
13000,13000,13000,5.471547,803.063568
13000,13000,13000,5.469483,803.366632
14000,14000,14000,6.859889,800.012909
14000,14000,14000,6.855975,800.469615
14000,14000,14000,6.848802,801.307989
14000,14000,14000,6.855067,800.575747
14000,14000,14000,6.827214,803.841856
14000,14000,14000,6.839731,802.370715
14000,14000,14000,6.847967,801.405752
14000,14000,14000,6.857446,800.297974
14000,14000,14000,6.840945,802.228320
14000,14000,14000,6.877045,798.017127
15000,15000,15000,8.430490,800.665224
15000,15000,15000,8.439351,799.824496
15000,15000,15000,8.443748,799.408037
15000,15000,15000,8.436938,800.053287
15000,15000,15000,8.417451,801.905424
15000,15000,15000,8.416210,802.023746
15000,15000,15000,8.426223,801.070689
15000,15000,15000,8.429999,800.711860
15000,15000,15000,8.429657,800.744371
15000,15000,15000,8.433275,800.400839
16000,16000,16000,10.173267,805.247739
16000,16000,16000,10.191834,803.780745
16000,16000,16000,10.193333,803.662540
16000,16000,16000,10.180886,804.645066
16000,16000,16000,10.170600,805.458876
16000,16000,16000,10.190140,803.914333
16000,16000,16000,10.173603,805.221105
16000,16000,16000,10.172403,805.316078
16000,16000,16000,10.188803,804.019889
16000,16000,16000,10.172858,805.280075
17000,17000,17000,12.222079,803.954883
17000,17000,17000,12.227523,803.596912
17000,17000,17000,12.224050,803.825251
17000,17000,17000,12.226380,803.672083
17000,17000,17000,12.230768,803.383719
17000,17000,17000,12.228261,803.548448
