cores,m,k,n,time,GFLOPS
1,12000,12000,12000,53.084522,65.103723
1,12000,12000,12000,53.101613,65.082769
1,12000,12000,12000,53.085729,65.102242
1,12000,12000,12000,53.114168,65.067384
1,12000,12000,12000,53.115394,65.065883
1,12000,12000,12000,53.094448,65.091552
1,12000,12000,12000,53.107891,65.075076
1,12000,12000,12000,53.093566,65.092633
1,12000,12000,12000,53.088968,65.098271
1,12000,12000,12000,53.089307,65.097855
2,12000,12000,12000,27.901426,123.864639
2,12000,12000,12000,27.931910,123.729455
2,12000,12000,12000,27.888893,123.920299
2,12000,12000,12000,27.886078,123.932812
2,12000,12000,12000,27.802086,124.307219
2,12000,12000,12000,27.643412,125.020745
2,12000,12000,12000,27.632456,125.070316
2,12000,12000,12000,27.885157,123.936905
2,12000,12000,12000,27.898109,123.879364
2,12000,12000,12000,27.886671,123.930174
3,12000,12000,12000,18.393746,187.889947
3,12000,12000,12000,18.401471,187.811071
3,12000,12000,12000,18.409690,187.727224
3,12000,12000,12000,18.393820,187.889196
3,12000,12000,12000,18.354159,188.295198
3,12000,12000,12000,18.396192,187.864963
3,12000,12000,12000,18.398982,187.836483
3,12000,12000,12000,18.392846,187.899143
3,12000,12000,12000,18.404121,187.784033
3,12000,12000,12000,18.406115,187.763691
4,12000,12000,12000,13.770427,250.972617
4,12000,12000,12000,13.771323,250.956277
4,12000,12000,12000,13.766897,251.036958
4,12000,12000,12000,13.774043,250.906723
4,12000,12000,12000,13.802623,250.387197
4,12000,12000,12000,13.777591,250.842106
4,12000,12000,12000,13.769473,250.990003
4,12000,12000,12000,13.773804,250.911079
4,12000,12000,12000,13.777934,250.835862
4,12000,12000,12000,13.772440,250.935931
5,12000,12000,12000,11.744277,294.270982
5,12000,12000,12000,11.705392,295.248540
5,12000,12000,12000,11.658855,296.427055
5,12000,12000,12000,11.765470,293.740933
5,12000,12000,12000,11.724942,294.756268
5,12000,12000,12000,11.708901,295.160060
5,12000,12000,12000,11.715360,294.997345
5,12000,12000,12000,11.707070,295.206221
5,12000,12000,12000,11.693643,295.545193
5,12000,12000,12000,11.706271,295.226372
6,12000,12000,12000,9.346631,369.758920
6,12000,12000,12000,9.331519,370.357725
6,12000,12000,12000,9.324941,370.618981
6,12000,12000,12000,9.324453,370.638354
6,12000,12000,12000,9.330283,370.406762
6,12000,12000,12000,9.335955,370.181735
6,12000,12000,12000,9.329917,370.421289
6,12000,12000,12000,9.322659,370.709677
6,12000,12000,12000,9.323644,370.670507
6,12000,12000,12000,9.324318,370.643718
7,12000,12000,12000,8.103870,426.462917
7,12000,12000,12000,8.066704,428.427752
7,12000,12000,12000,8.101809,426.571403
7,12000,12000,12000,8.110691,426.104271
7,12000,12000,12000,8.120099,425.610577
7,12000,12000,12000,8.068597,428.327254
7,12000,12000,12000,8.078592,427.797313
7,12000,12000,12000,8.086488,427.379596
7,12000,12000,12000,8.117755,425.733470
7,12000,12000,12000,8.143793,424.372278
8,12000,12000,12000,7.509019,460.246535
8,12000,12000,12000,7.527874,459.093776
8,12000,12000,12000,7.514798,459.892630
8,12000,12000,12000,7.514682,459.899708
8,12000,12000,12000,7.524257,459.314447
8,12000,12000,12000,7.520158,459.564805
8,12000,12000,12000,7.518130,459.688798
8,12000,12000,12000,7.508578,460.273579
8,12000,12000,12000,7.527129,459.139183
8,12000,12000,12000,7.518478,459.667493
9,12000,12000,12000,6.951797,497.137671
9,12000,12000,12000,6.895726,501.179992
9,12000,12000,12000,6.899753,500.887506
9,12000,12000,12000,6.937441,498.166402
9,12000,12000,12000,6.956726,496.785419
9,12000,12000,12000,6.935590,498.299363
9,12000,12000,12000,6.956815,496.779076
9,12000,12000,12000,6.919811,499.435582
9,12000,12000,12000,6.887766,501.759210
9,12000,12000,12000,6.948800,497.352084
10,12000,12000,12000,5.836337,592.152242
10,12000,12000,12000,5.706168,605.660440
10,12000,12000,12000,5.703197,605.975865
10,12000,12000,12000,5.719212,604.279073
10,12000,12000,12000,5.708370,605.426788
10,12000,12000,12000,5.906334,585.134534
10,12000,12000,12000,5.696375,606.701677
10,12000,12000,12000,5.924586,583.331863
10,12000,12000,12000,5.715976,604.621184
10,12000,12000,12000,5.998209,576.171999
11,12000,12000,12000,5.316815,650.013264
11,12000,12000,12000,5.293640,652.858844
11,12000,12000,12000,5.298122,652.306575
11,12000,12000,12000,5.280789,654.447645
11,12000,12000,12000,5.322415,649.329274
11,12000,12000,12000,5.350522,645.918237
11,12000,12000,12000,5.287775,653.583082
11,12000,12000,12000,5.302266,651.796849
11,12000,12000,12000,5.287630,653.600906
11,12000,12000,12000,5.287957,653.560537
12,12000,12000,12000,4.670781,739.919112
12,12000,12000,12000,4.675143,739.228797
12,12000,12000,12000,4.684022,737.827490
12,12000,12000,12000,4.624579,747.311297
12,12000,12000,12000,4.756891,726.524938
12,12000,12000,12000,4.771784,724.257484
12,12000,12000,12000,4.610647,749.569361
12,12000,12000,12000,4.711478,733.527836
12,12000,12000,12000,4.656673,742.160704
12,12000,12000,12000,4.656762,742.146522
